#NAME,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
K00018,457,0,473,0,474,481,440,467,0,0,454,487,456,439,0,458,0,463,480,473,0,459,457,0,495,509,0,468,0,431
K00019,253,0,242,251,0,0,0,0,0,266,0,257,245,0,233,239,243,270,261,0,228,251,0,265,243,252,301,248,0,264
K00020,78,0,98,84,0,0,98,87,87,89,105,108,0,0,0,98,84,0,0,68,0,91,0,0,94,0,114,78,91,94
K00021,204,0,179,0,0,0,205,205,211,224,0,206,0,211,219,0,203,187,207,202,223,0,182,0,224,0,0,0,0,0
K00022,156,152,159,153,155,0,0,0,0,131,0,151,0,145,0,155,0,130,148,0,149,0,162,0,0,0,147,162,144,0
K00023,3100,0,3143,3063,3271,3084,3113,0,3116,0,0,3153,0,3136,0,0,3125,3101,0,3189,3180,0,0,3132,0,0,3118,3093,0,3091
K00024,142,141,131,0,147,0,0,169,139,0,139,0,0,0,0,121,0,159,148,0,133,143,149,0,0,144,152,146,0,0
K00025,114,0,118,116,90,103,0,122,0,0,100,101,0,106,106,91,91,114,116,104,117,124,0,0,0,100,120,120,0,0
K00026,309,306,334,0,354,0,0,0,0,294,310,318,323,0,0,318,338,302,0,316,340,0,305,0,0,0,297,339,327,0
K00027,53,59,0,69,0,57,62,0,48,61,55,0,0,52,54,0,0,59,0,64,46,0,65,52,0,53,42,0,58,0
K00028,0,0,235,265,264,260,0,0,232,267,228,283,267,0,0,901,0,968,980,0,0,923,908,905,931,905,957,968,953,946
K00029,0,62,141,94,0,98,0,78,74,94,78,0,106,90,102,0,0,0,0,25,35,15,20,24,0,22,24,27,20,28
K00030,0,402,394,399,0,383,364,411,396,393,407,377,386,397,350,0,420,377,389,412,355,0,392,440,0,382,423,0,0,413
K00031,0,62,68,0,0,80,76,0,57,72,0,88,77,52,68,0,0,93,83,0,75,90,78,74,75,0,0,76,0,0
K00032,234,214,0,263,226,234,225,272,0,0,223,216,215,228,204,0,0,0,247,247,229,247,216,0,243,0,223,0,231,0
K00033,183,175,163,0,216,176,179,160,170,0,180,187,0,0,0,171,166,0,0,163,161,184,172,179,153,0,199,0,172,186
K00034,168,0,0,161,149,160,0,0,158,0,172,144,0,184,0,163,0,0,157,163,145,187,178,0,0,152,0,143,150,162
K00035,0,159,173,0,0,0,172,0,162,0,0,0,156,0,166,165,0,180,0,0,0,0,139,170,0,159,0,0,151,167
K00036,0,74,72,72,0,0,68,81,75,0,0,92,74,0,68,0,75,72,82,0,0,80,83,90,0,84,0,0,76,0
K00037,0,0,101,0,0,0,97,0,0,94,97,102,0,94,89,91,110,97,77,98,104,76,84,0,100,102,95,0,87,0
K00038,215,244,200,0,247,0,200,0,0,0,0,0,219,0,224,0,0,207,208,0,233,0,207,200,237,195,222,213,0,0
K00039,139,144,152,0,168,158,157,140,143,175,125,119,133,141,0,0,0,153,138,154,0,143,159,143,133,132,150,0,166,0
K00040,0,0,1069,1118,0,0,0,1055,1122,0,1023,1120,1060,0,1077,0,1120,0,0,1080,1120,0,1008,0,0,0,1150,1071,1057,1075
K00041,294,321,0,251,307,307,264,254,244,278,337,281,311,264,0,0,0,77,0,0,79,77,0,0,96,83,76,79,0,82
K00042,206,229,188,206,0,197,210,0,194,198,232,0,0,193,201,208,204,183,0,221,212,0,0,0,0,0,199,216,203,202
K00043,0,0,219,0,246,0,0,236,0,0,0,0,214,198,231,0,240,0,0,241,0,0,0,214,0,258,0,0,0,246
K00044,952,0,902,0,1084,0,921,0,1065,0,0,990,940,0,820,326,299,0,309,0,0,0,293,293,0,295,0,307,293,0
K00045,0,732,736,719,741,0,735,0,724,709,0,731,752,0,0,0,739,0,779,0,747,703,0,764,778,0,0,727,0,0
K00046,104,109,115,100,82,83,0,91,98,95,97,0,96,90,93,99,99,89,79,100,90,105,0,119,0,0,87,108,0,92
K00047,513,0,0,504,0,0,526,0,493,0,0,0,0,0,485,0,450,480,477,0,0,502,0,490,520,502,539,510,534,0
K00048,219,205,220,198,0,208,200,218,213,0,0,217,0,0,0,0,226,197,207,203,185,194,196,220,211,208,210,0,208,222
K00049,280,287,319,274,281,284,275,266,290,320,323,265,0,0,307,0,324,246,0,278,292,0,0,0,0,0,295,0,263,0
K00050,0,114,127,109,113,116,97,129,0,113,0,0,127,0,0,0,388,324,0,0,0,356,341,371,350,338,0,382,0,365
