# Pathway	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
METHIONINE_BIOSYNTHESIS|g__Lactobacillus.s__Lactobacillus_reuteri	900.0	800.0	1000.0	700.0	900.0	800.0	1000.0	800.0	900.0	900.0	800.0	1000.0	700.0	900.0	800.0	1000.0	800.0	900.0	900.0	900.0
METHIONINE_BIOSYNTHESIS|g__Bifidobacterium.s__Bifidobacterium_longum	800.0	700.0	900.0	700.0	800.0	700.0	900.0	700.0	800.0	800.0	700.0	1000.0	600.0	800.0	700.0	900.0	700.0	800.0	800.0	800.0
COA_BIOSYNTHESIS	1800.0	1700.0	2000.0	1600.0	1900.0	1700.0	2100.0	1700.0	1800.0	1800.0	1700.0	2200.0	1500.0	2000.0	1700.0	2000.0	1700.0	1900.0	1800.0	2000.0
COA_BIOSYNTHESIS|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	800.0	700.0	900.0	700.0	800.0	700.0	900.0	700.0	800.0	800.0	700.0	900.0	600.0	800.0	700.0	900.0	700.0	800.0	800.0	800.0
COA_BIOSYNTHESIS|g__Roseburia.s__Roseburia_intestinalis	600.0	500.0	700.0	500.0	600.0	500.0	700.0	500.0	600.0	600.0	500.0	700.0	400.0	600.0	500.0	700.0	500.0	600.0	500.0	600.0
RIBOFLAVIN_BIOSYNTHESIS	1200.0	1100.0	1400.0	1000.0	1300.0	1100.0	1500.0	1100.0	1200.0	1200.0	1100.0	1600.0	900.0	1300.0	1100.0	1400.0	1100.0	1300.0	1200.0	1300.0
RIBOFLAVIN_BIOSYNTHESIS|g__Bifidobacterium.s__Bifidobacterium_longum	500.0	400.0	600.0	400.0	500.0	400.0	600.0	400.0	500.0	500.0	400.0	600.0	300.0	500.0	400.0	600.0	400.0	500.0	500.0	500.0
RIBOFLAVIN_BIOSYNTHESIS|g__Lactobacillus.s__Lactobacillus_reuteri	400.0	300.0	500.0	300.0	400.0	300.0	500.0	300.0	400.0	400.0	300.0	500.0	200.0	400.0	300.0	500.0	300.0	400.0	300.0	400.0
HEME_BIOSYNTHESIS	950.0	900.0	1050.0	850.0	1000.0	920.0	1080.0	880.0	940.0	950.0	900.0	1100.0	820.0	1000.0	920.0	1060.0	880.0	980.0	940.0	1000.0
HEME_BIOSYNTHESIS|g__Escherichia.s__Escherichia_coli	400.0	380.0	450.0	360.0	420.0	390.0	460.0	370.0	400.0	400.0	380.0	460.0	350.0	420.0	390.0	450.0	370.0	420.0	400.0	420.0
HEME_BIOSYNTHESIS|g__Bacteroides.s__Bacteroides_vulgatus	350.0	320.0	380.0	300.0	360.0	330.0	390.0	310.0	340.0	350.0	320.0	400.0	280.0	370.0	330.0	380.0	310.0	360.0	340.0	360.0
PYRIMIDINE_BIOSYNTHESIS	7200.0	6800.0	7600.0	6300.0	7400.0	6900.0	7700.0	6400.0	7000.0	7200.0	6800.0	7900.0	6100.0	7500.0	6900.0	7700.0	6400.0	7400.0	7000.0	7500.0
PYRIMIDINE_BIOSYNTHESIS|g__Escherichia.s__Escherichia_coli	3000.0	2800.0	3200.0	2600.0	3100.0	2800.0	3300.0	2700.0	2900.0	3000.0	2800.0	3300.0	2500.0	3100.0	2800.0	3200.0	2700.0	3100.0	2900.0	3100.0
PYRIMIDINE_BIOSYNTHESIS|g__Bacteroides.s__Bacteroides_vulgatus	2500.0	2300.0	2700.0	2200.0	2600.0	2400.0	2800.0	2300.0	2500.0	2500.0	2300.0	2900.0	2100.0	2600.0	2400.0	2700.0	2300.0	2600.0	2500.0	2600.0
PURINE_BIOSYNTHESIS	6800.0	6400.0	7200.0	6000.0	7000.0	6500.0	7300.0	6100.0	6600.0	6800.0	6400.0	7500.0	5800.0	7100.0	6500.0	7300.0	6100.0	7000.0	6600.0	7100.0
PURINE_BIOSYNTHESIS|g__Escherichia.s__Escherichia_coli	2800.0	2600.0	3000.0	2500.0	2900.0	2700.0	3100.0	2500.0	2700.0	2800.0	2600.0	3100.0	2400.0	2900.0	2700.0	3000.0	2500.0	2900.0	2700.0	2900.0
PURINE_BIOSYNTHESIS|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2400.0	2200.0	2600.0	2100.0	2500.0	2300.0	2700.0	2100.0	2300.0	2400.0	2200.0	2800.0	2000.0	2500.0	2300.0	2600.0	2100.0	2400.0	2300.0	2500.0
ARGININE_BIOSYNTHESIS	3100.0	2900.0	3300.0	2700.0	3200.0	3000.0	3400.0	2800.0	3000.0	3100.0	2900.0	3500.0	2600.0	3200.0	3000.0	3400.0	2800.0	3200.0	3000.0	3200.0
ARGININE_BIOSYNTHESIS|g__Escherichia.s__Escherichia_coli	1300.0	1200.0	1400.0	1100.0	1300.0	1200.0	1500.0	1200.0	1300.0	1300.0	1200.0	1500.0	1000.0	1300.0	1200.0	1400.0	1200.0	1300.0	1300.0	1300.0
ARGININE_BIOSYNTHESIS|g__Bacteroides.s__Bacteroides_vulgatus	1100.0	1000.0	1200.0	1000.0	1100.0	1000.0	1300.0	1000.0	1100.0	1100.0	1000.0	1300.0	900.0	1100.0	1000.0	1200.0	1000.0	1100.0	1100.0	1100.0
BUTANOATE_METABOLISM	4200.0	3900.0	4500.0	3600.0	4300.0	4000.0	4600.0	3700.0	4100.0	4200.0	3900.0	4700.0	3500.0	4400.0	4000.0	4600.0	3700.0	4300.0	4100.0	4400.0
BUTANOATE_METABOLISM|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1800.0	1700.0	1900.0	1500.0	1800.0	1700.0	2000.0	1600.0	1700.0	1800.0	1700.0	2000.0	1400.0	1900.0	1700.0	1900.0	1600.0	1800.0	1700.0	1900.0
BUTANOATE_METABOLISM|g__Roseburia.s__Roseburia_intestinalis	1400.0	1300.0	1500.0	1200.0	1400.0	1300.0	1600.0	1200.0	1400.0	1400.0	1300.0	1600.0	1100.0	1500.0	1300.0	1500.0	1200.0	1400.0	1400.0	1500.0
PROPIONATE_METABOLISM	3800.0	3600.0	4000.0	3300.0	3900.0	3600.0	4100.0	3400.0	3700.0	3800.0	3600.0	4200.0	3200.0	4000.0	3600.0	4100.0	3400.0	3900.0	3700.0	3900.0
PROPIONATE_METABOLISM|g__Bacteroides.s__Bacteroides_vulgatus	1600.0	1500.0	1700.0	1400.0	1600.0	1500.0	1800.0	1400.0	1500.0	1600.0	1500.0	1800.0	1300.0	1700.0	1500.0	1700.0	1400.0	1600.0	1500.0	1700.0
PROPIONATE_METABOLISM|g__Bacteroides.s__Bacteroides_uniformis	1300.0	1200.0	1400.0	1100.0	1300.0	1200.0	1500.0	1100.0	1300.0	1300.0	1200.0	1500.0	1000.0	1300.0	1200.0	1400.0	1100.0	1300.0	1200.0	1300.0
SULFUR_METABOLISM	2100.0	2000.0	2300.0	1800.0	2200.0	2000.0	2400.0	1900.0	2100.0	2100.0	2000.0	2500.0	1700.0	2200.0	2000.0	2300.0	1900.0	2200.0	2100.0	2200.0
SULFUR_METABOLISM|g__Escherichia.s__Escherichia_coli	900.0	800.0	1000.0	800.0	900.0	800.0	1000.0	800.0	900.0	900.0	800.0	1000.0	700.0	900.0	800.0	1000.0	800.0	900.0	900.0	900.0
SULFUR_METABOLISM|g__Bacteroides.s__Bacteroides_vulgatus	700.0	600.0	800.0	600.0	700.0	600.0	800.0	600.0	700.0	700.0	600.0	800.0	500.0	700.0	600.0	800.0	600.0	700.0	600.0	700.0
NITRATE_AMMONIFICATION	1800.0	1700.0	2000.0	1600.0	1900.0	1700.0	2100.0	1700.0	1800.0	1800.0	1700.0	2200.0	1500.0	1900.0	1700.0	2000.0	1700.0	1900.0	1800.0	1900.0
NITRATE_AMMONIFICATION|g__Escherichia.s__Escherichia_coli	800.0	700.0	900.0	700.0	800.0	700.0	900.0	700.0	800.0	800.0	700.0	900.0	600.0	800.0	700.0	900.0	700.0	800.0	800.0	800.0
NITRATE_AMMONIFICATION|g__Bacteroides.s__Bacteroides_vulgatus	600.0	500.0	700.0	500.0	600.0	500.0	700.0	500.0	600.0	600.0	500.0	700.0	400.0	600.0	500.0	700.0	500.0	600.0	500.0	600.0
