sample_id,species,strain,abundance,ani,coverage
S05,s__Bacteroides_thetaiotaomicron,BT_001,446,99.15,0.734
S05,s__Bacteroides_thetaiotaomicron,BT_002,352,98.18,0.592
S05,s__Bacteroides_thetaiotaomicron,BT_003,252,96.9,0.737
S05,s__Faecalibacterium_prausnitzii,FP_001,356,95.8,0.613
S05,s__Faecalibacterium_prausnitzii,FP_002,213,97.0,0.984
S05,s__Faecalibacterium_prausnitzii,FP_003,313,99.53,0.975
S05,s__Faecalibacterium_prausnitzii,FP_004,120,96.09,0.836
S05,s__Faecalibacterium_prausnitzii,FP_005,145,95.99,0.602
S05,s__Akkermansia_muciniphila,AM_001,574,95.87,0.977
S05,s__Akkermansia_muciniphila,AM_002,311,97.15,0.809
S05,s__Akkermansia_muciniphila,AM_003,283,98.37,0.933
S06,s__Escherichia_coli,EC_001,272,99.35,0.714
S06,s__Escherichia_coli,EC_002,126,98.8,0.804
S06,s__Escherichia_coli,EC_003,22,99.04,0.86
S06,s__Escherichia_coli,EC_004,96,96.93,0.97
S06,s__Escherichia_coli,EC_005,42,97.8,0.768
S06,s__Escherichia_coli,EC_006,96,98.14,0.852
S06,s__Escherichia_coli,EC_007,168,95.19,0.555
S06,s__Bacteroides_fragilis,BF_001,412,97.24,0.939
S06,s__Bacteroides_fragilis,BF_002,209,99.3,0.623
S06,s__Bacteroides_fragilis,BF_003,227,97.64,0.992
S06,s__Bacteroides_fragilis,BF_004,144,95.19,0.694
S06,s__Bacteroides_thetaiotaomicron,BT_001,559,98.75,0.981
S06,s__Bacteroides_thetaiotaomicron,BT_002,194,95.93,0.72
S06,s__Bacteroides_thetaiotaomicron,BT_003,337,99.33,0.887
S06,s__Faecalibacterium_prausnitzii,FP_001,352,96.4,0.583
S06,s__Faecalibacterium_prausnitzii,FP_002,102,96.44,0.96
S06,s__Faecalibacterium_prausnitzii,FP_003,147,98.38,0.952
S06,s__Faecalibacterium_prausnitzii,FP_004,255,97.27,0.823
S06,s__Faecalibacterium_prausnitzii,FP_005,242,95.44,0.75
S06,s__Akkermansia_muciniphila,AM_001,487,95.88,0.793
S06,s__Akkermansia_muciniphila,AM_002,165,99.38,0.773
S06,s__Akkermansia_muciniphila,AM_003,253,96.93,0.662
S07,s__Escherichia_coli,EC_001,306,95.12,0.727
S07,s__Escherichia_coli,EC_002,147,99.39,0.948
S07,s__Escherichia_coli,EC_003,115,99.32,0.545
S07,s__Escherichia_coli,EC_004,58,96.59,0.824
S07,s__Escherichia_coli,EC_005,134,98.49,0.582
S07,s__Escherichia_coli,EC_006,112,98.59,0.546
S07,s__Escherichia_coli,EC_007,106,98.46,0.817
S07,s__Bacteroides_fragilis,BF_001,368,95.42,0.854
S07,s__Bacteroides_fragilis,BF_002,294,98.56,0.988
S07,s__Bacteroides_fragilis,BF_003,221,98.0,0.58
S07,s__Bacteroides_fragilis,BF_004,213,97.7,0.522
S07,s__Bacteroides_thetaiotaomicron,BT_001,402,95.84,0.668
S07,s__Bacteroides_thetaiotaomicron,BT_002,234,99.27,0.931
S07,s__Bacteroides_thetaiotaomicron,BT_003,319,95.79,0.572
S07,s__Faecalibacterium_prausnitzii,FP_001,317,98.77,0.526
S07,s__Faecalibacterium_prausnitzii,FP_002,167,96.51,0.865
S07,s__Faecalibacterium_prausnitzii,FP_003,203,99.71,0.644
S07,s__Faecalibacterium_prausnitzii,FP_004,168,95.89,0.949
S07,s__Faecalibacterium_prausnitzii,FP_005,187,99.71,0.502
S07,s__Akkermansia_muciniphila,AM_001,462,98.75,0.506
S07,s__Akkermansia_muciniphila,AM_002,341,97.44,0.749
S07,s__Akkermansia_muciniphila,AM_003,292,98.96,0.804
S08,s__Escherichia_coli,EC_001,254,97.42,0.608
S08,s__Escherichia_coli,EC_002,138,98.23,0.727
S08,s__Escherichia_coli,EC_003,98,97.17,0.801
S08,s__Escherichia_coli,EC_004,104,95.03,0.941
S08,s__Escherichia_coli,EC_005,7,96.36,0.814
S08,s__Escherichia_coli,EC_006,115,99.02,0.604
S08,s__Bacteroides_fragilis,BF_001,394,95.91,0.528
S08,s__Bacteroides_fragilis,BF_002,179,96.71,0.573
S08,s__Bacteroides_fragilis,BF_003,280,95.16,0.789
S08,s__Bacteroides_fragilis,BF_004,129,97.96,0.666
S08,s__Bacteroides_thetaiotaomicron,BT_001,438,95.43,0.554
S08,s__Bacteroides_thetaiotaomicron,BT_002,160,99.87,0.581
S08,s__Bacteroides_thetaiotaomicron,BT_003,307,96.39,0.83
S08,s__Faecalibacterium_prausnitzii,FP_001,251,98.43,0.786
S08,s__Faecalibacterium_prausnitzii,FP_002,163,97.75,0.983
S08,s__Faecalibacterium_prausnitzii,FP_003,125,98.67,0.68
S08,s__Faecalibacterium_prausnitzii,FP_004,172,95.18,0.884
S08,s__Faecalibacterium_prausnitzii,FP_005,111,96.58,0.949
S08,s__Akkermansia_muciniphila,AM_001,552,99.02,0.879
S08,s__Akkermansia_muciniphila,AM_002,259,99.13,0.532
S08,s__Akkermansia_muciniphila,AM_003,241,97.31,0.561
S09,s__Escherichia_coli,EC_001,130,99.21,0.665
S09,s__Escherichia_coli,EC_002,146,97.03,0.605
S09,s__Escherichia_coli,EC_003,101,96.02,0.529
S09,s__Escherichia_coli,EC_004,193,97.8,0.99
S09,s__Escherichia_coli,EC_005,26,97.59,0.544
S09,s__Escherichia_coli,EC_006,98,98.55,0.802
S09,s__Escherichia_coli,EC_007,126,98.86,0.853
S09,s__Bacteroides_fragilis,BF_001,414,97.09,0.924
S09,s__Bacteroides_fragilis,BF_002,261,96.27,0.788
S09,s__Bacteroides_fragilis,BF_003,265,98.05,0.964
S09,s__Bacteroides_fragilis,BF_004,95,98.01,0.748
S09,s__Bacteroides_thetaiotaomicron,BT_001,453,98.57,0.749
S09,s__Bacteroides_thetaiotaomicron,BT_002,243,98.96,0.942
S09,s__Bacteroides_thetaiotaomicron,BT_003,296,96.14,0.645
S09,s__Faecalibacterium_prausnitzii,FP_001,238,95.95,0.559
S09,s__Faecalibacterium_prausnitzii,FP_002,126,97.28,0.898
S09,s__Faecalibacterium_prausnitzii,FP_003,103,98.61,0.604
S09,s__Faecalibacterium_prausnitzii,FP_004,163,98.02,0.707
S09,s__Faecalibacterium_prausnitzii,FP_005,224,95.22,0.675
S09,s__Akkermansia_muciniphila,AM_001,439,98.95,0.606
S09,s__Akkermansia_muciniphila,AM_002,314,98.14,0.845
S09,s__Akkermansia_muciniphila,AM_003,227,96.25,0.534
S10,s__Escherichia_coli,EC_001,289,96.47,0.775
S10,s__Escherichia_coli,EC_002,215,98.76,0.557
S10,s__Escherichia_coli,EC_003,51,96.63,0.698
S10,s__Escherichia_coli,EC_004,169,97.79,0.98
S10,s__Escherichia_coli,EC_005,41,99.08,0.597
S10,s__Escherichia_coli,EC_006,101,99.09,0.961
S10,s__Escherichia_coli,EC_007,145,97.35,0.737
S10,s__Bacteroides_fragilis,BF_001,350,95.17,0.568
S10,s__Bacteroides_fragilis,BF_002,235,95.76,0.73
S10,s__Bacteroides_fragilis,BF_003,161,99.24,0.948
S10,s__Bacteroides_fragilis,BF_004,174,97.27,0.907
S10,s__Bacteroides_thetaiotaomicron,BT_001,542,99.55,0.528
S10,s__Bacteroides_thetaiotaomicron,BT_002,338,97.55,0.782
S10,s__Bacteroides_thetaiotaomicron,BT_003,263,98.32,0.778
S10,s__Faecalibacterium_prausnitzii,FP_001,302,95.09,0.789
S10,s__Faecalibacterium_prausnitzii,FP_002,210,96.63,0.958
S10,s__Faecalibacterium_prausnitzii,FP_003,160,98.9,0.533
S10,s__Faecalibacterium_prausnitzii,FP_004,226,95.73,0.92
S10,s__Akkermansia_muciniphila,AM_001,491,96.66,0.688
S10,s__Akkermansia_muciniphila,AM_002,300,97.62,0.583
S10,s__Akkermansia_muciniphila,AM_003,285,97.97,0.594
S11,s__Escherichia_coli,EC_001,278,95.57,0.891
S11,s__Escherichia_coli,EC_002,179,96.51,0.929
S11,s__Escherichia_coli,EC_004,174,98.48,0.636
S11,s__Escherichia_coli,EC_005,142,95.43,0.939
S11,s__Escherichia_coli,EC_006,51,96.82,0.915
S11,s__Escherichia_coli,EC_007,95,96.48,0.763
S11,s__Bacteroides_fragilis,BF_001,391,95.86,0.687
S11,s__Bacteroides_fragilis,BF_002,282,95.18,0.601
S11,s__Bacteroides_fragilis,BF_003,83,95.45,0.753
S11,s__Bacteroides_fragilis,BF_004,231,98.92,0.952
S11,s__Bacteroides_thetaiotaomicron,BT_001,510,95.75,0.67
S11,s__Bacteroides_thetaiotaomicron,BT_002,204,97.37,0.937
S11,s__Bacteroides_thetaiotaomicron,BT_003,384,96.52,0.664
S11,s__Faecalibacterium_prausnitzii,FP_001,219,98.77,0.549
S11,s__Faecalibacterium_prausnitzii,FP_002,145,99.81,0.758
S11,s__Faecalibacterium_prausnitzii,FP_003,237,99.86,0.603
S11,s__Faecalibacterium_prausnitzii,FP_004,131,95.18,0.694
S11,s__Faecalibacterium_prausnitzii,FP_005,157,99.24,0.558
S11,s__Akkermansia_muciniphila,AM_001,480,96.52,0.522
S11,s__Akkermansia_muciniphila,AM_002,137,99.16,0.936
S11,s__Akkermansia_muciniphila,AM_003,213,96.63,0.945
S12,s__Escherichia_coli,EC_001,236,95.51,0.883
S12,s__Escherichia_coli,EC_002,145,98.65,0.511
S12,s__Escherichia_coli,EC_003,7,98.72,0.819
S12,s__Escherichia_coli,EC_004,106,96.03,0.6
S12,s__Escherichia_coli,EC_005,60,96.4,0.766
S12,s__Escherichia_coli,EC_006,168,98.79,0.836
S12,s__Escherichia_coli,EC_007,59,96.34,0.579
S12,s__Bacteroides_fragilis,BF_001,420,95.56,0.979
S12,s__Bacteroides_fragilis,BF_002,147,97.74,0.551
S12,s__Bacteroides_fragilis,BF_003,269,97.66,0.775
S12,s__Bacteroides_fragilis,BF_004,147,96.33,0.972
S12,s__Bacteroides_thetaiotaomicron,BT_001,517,98.94,0.787
S12,s__Bacteroides_thetaiotaomicron,BT_002,237,95.84,0.656
S12,s__Bacteroides_thetaiotaomicron,BT_003,365,99.37,0.77
S12,s__Faecalibacterium_prausnitzii,FP_001,445,95.25,0.514
S12,s__Faecalibacterium_prausnitzii,FP_002,202,99.43,0.525
S12,s__Faecalibacterium_prausnitzii,FP_003,126,96.88,0.543
S12,s__Faecalibacterium_prausnitzii,FP_004,191,96.92,0.852
S12,s__Faecalibacterium_prausnitzii,FP_005,104,99.37,0.815
S12,s__Akkermansia_muciniphila,AM_001,584,98.38,0.723
S12,s__Akkermansia_muciniphila,AM_002,265,96.74,0.666
S12,s__Akkermansia_muciniphila,AM_003,218,95.97,0.879
S13,s__Escherichia_coli,EC_001,233,98.97,0.539
S13,s__Escherichia_coli,EC_002,98,99.52,0.882
S13,s__Escherichia_coli,EC_003,130,97.78,0.546
S13,s__Escherichia_coli,EC_004,191,98.93,0.849
S13,s__Escherichia_coli,EC_005,110,95.48,0.655
S13,s__Escherichia_coli,EC_006,125,98.16,0.883
S13,s__Escherichia_coli,EC_007,196,97.31,0.974
S13,s__Bacteroides_fragilis,BF_001,407,95.7,0.948
S13,s__Bacteroides_fragilis,BF_002,229,96.26,0.682
S13,s__Bacteroides_fragilis,BF_003,190,95.9,0.959
S13,s__Bacteroides_fragilis,BF_004,182,96.62,0.93
S13,s__Bacteroides_thetaiotaomicron,BT_001,534,96.59,0.744
S13,s__Bacteroides_thetaiotaomicron,BT_002,267,95.32,0.556
S13,s__Bacteroides_thetaiotaomicron,BT_003,290,97.35,0.923
S13,s__Faecalibacterium_prausnitzii,FP_001,275,96.38,0.674
S13,s__Faecalibacterium_prausnitzii,FP_002,143,97.82,0.754
S13,s__Faecalibacterium_prausnitzii,FP_003,206,96.99,0.857
S13,s__Faecalibacterium_prausnitzii,FP_004,193,95.52,0.778
S13,s__Faecalibacterium_prausnitzii,FP_005,148,95.35,0.651
S13,s__Akkermansia_muciniphila,AM_001,447,97.26,0.795
S13,s__Akkermansia_muciniphila,AM_002,269,96.17,0.622
S13,s__Akkermansia_muciniphila,AM_003,232,95.78,0.741
S14,s__Escherichia_coli,EC_001,260,95.32,0.604
S14,s__Escherichia_coli,EC_002,153,98.4,0.716
S14,s__Escherichia_coli,EC_003,196,99.8,0.784
S14,s__Escherichia_coli,EC_004,133,96.68,0.847
S14,s__Escherichia_coli,EC_005,198,95.85,0.835
S14,s__Escherichia_coli,EC_006,116,98.62,0.856
S14,s__Escherichia_coli,EC_007,160,99.1,0.557
S14,s__Bacteroides_fragilis,BF_001,380,97.92,0.663
S14,s__Bacteroides_fragilis,BF_002,231,95.48,0.723
S14,s__Bacteroides_fragilis,BF_003,253,96.51,0.703
S14,s__Bacteroides_fragilis,BF_004,299,97.93,0.843
S14,s__Bacteroides_thetaiotaomicron,BT_001,412,97.92,0.91
S14,s__Bacteroides_thetaiotaomicron,BT_002,219,96.6,0.822
S14,s__Bacteroides_thetaiotaomicron,BT_003,273,95.3,0.609
S14,s__Faecalibacterium_prausnitzii,FP_001,335,95.68,0.79
S14,s__Faecalibacterium_prausnitzii,FP_002,158,98.7,0.905
S14,s__Faecalibacterium_prausnitzii,FP_003,184,98.71,0.83
S14,s__Faecalibacterium_prausnitzii,FP_004,155,97.22,0.646
S14,s__Faecalibacterium_prausnitzii,FP_005,125,98.02,0.724
S14,s__Akkermansia_muciniphila,AM_001,517,96.01,0.939
S14,s__Akkermansia_muciniphila,AM_002,268,96.47,0.897
S14,s__Akkermansia_muciniphila,AM_003,270,98.33,0.959
S15,s__Escherichia_coli,EC_001,243,99.59,0.859
S15,s__Escherichia_coli,EC_002,86,99.48,0.995
S15,s__Escherichia_coli,EC_003,42,97.86,0.806
S15,s__Escherichia_coli,EC_004,170,97.5,0.924
S15,s__Escherichia_coli,EC_005,117,99.18,0.531
S15,s__Escherichia_coli,EC_006,99,99.42,0.984
S15,s__Escherichia_coli,EC_007,81,95.0,0.78
S15,s__Bacteroides_fragilis,BF_001,472,99.8,0.555
S15,s__Bacteroides_fragilis,BF_002,234,96.38,0.516
S15,s__Bacteroides_fragilis,BF_003,191,97.12,0.795
S15,s__Bacteroides_fragilis,BF_004,190,98.06,0.856
S15,s__Bacteroides_thetaiotaomicron,BT_001,557,96.99,0.718
S15,s__Bacteroides_thetaiotaomicron,BT_002,239,96.03,0.587
S15,s__Bacteroides_thetaiotaomicron,BT_003,170,95.68,0.778
S15,s__Faecalibacterium_prausnitzii,FP_001,341,99.13,0.68
S15,s__Faecalibacterium_prausnitzii,FP_002,162,97.04,0.644
S15,s__Faecalibacterium_prausnitzii,FP_003,189,99.28,0.563
S15,s__Faecalibacterium_prausnitzii,FP_004,103,95.06,0.824
S15,s__Faecalibacterium_prausnitzii,FP_005,154,95.71,0.942
S15,s__Akkermansia_muciniphila,AM_001,486,98.22,0.987
S15,s__Akkermansia_muciniphila,AM_002,176,95.67,0.569
S15,s__Akkermansia_muciniphila,AM_003,302,98.95,0.93
S16,s__Escherichia_coli,EC_002,43,99.38,0.848
S16,s__Escherichia_coli,EC_003,31,99.56,0.812
S16,s__Escherichia_coli,EC_004,116,97.23,0.712
S16,s__Escherichia_coli,EC_005,58,99.02,0.692
S16,s__Escherichia_coli,EC_006,263,96.11,0.712
S16,s__Escherichia_coli,EC_007,381,95.04,0.749
S16,s__Bacteroides_fragilis,BF_001,477,98.58,0.856
S16,s__Bacteroides_fragilis,BF_002,97,96.32,0.963
S16,s__Bacteroides_fragilis,BF_003,159,97.82,0.517
S16,s__Bacteroides_fragilis,BF_004,149,95.19,0.742
S16,s__Bacteroides_thetaiotaomicron,BT_001,446,96.81,0.79
S16,s__Bacteroides_thetaiotaomicron,BT_002,288,99.71,0.54
S16,s__Bacteroides_thetaiotaomicron,BT_003,357,98.58,0.763
S16,s__Faecalibacterium_prausnitzii,FP_001,281,99.21,0.875
S16,s__Faecalibacterium_prausnitzii,FP_002,196,96.37,0.758
S16,s__Faecalibacterium_prausnitzii,FP_003,178,97.56,0.805
S16,s__Faecalibacterium_prausnitzii,FP_004,214,96.2,0.815
S16,s__Faecalibacterium_prausnitzii,FP_005,187,98.25,0.834
S16,s__Akkermansia_muciniphila,AM_001,93,98.35,0.77
S16,s__Akkermansia_muciniphila,AM_002,367,97.84,0.807
S16,s__Akkermansia_muciniphila,AM_003,634,99.43,0.768
S17,s__Escherichia_coli,EC_001,102,95.05,0.727
S17,s__Escherichia_coli,EC_002,93,99.44,0.787
S17,s__Escherichia_coli,EC_003,128,96.62,0.676
S17,s__Escherichia_coli,EC_004,87,99.79,0.647
S17,s__Escherichia_coli,EC_005,92,95.82,0.848
S17,s__Escherichia_coli,EC_006,363,97.93,0.652
S17,s__Escherichia_coli,EC_007,258,98.85,0.63
S17,s__Bacteroides_fragilis,BF_001,382,98.08,0.789
S17,s__Bacteroides_fragilis,BF_002,189,97.81,0.828
S17,s__Bacteroides_fragilis,BF_003,225,96.43,0.869
S17,s__Bacteroides_fragilis,BF_004,267,95.13,0.742
S17,s__Bacteroides_thetaiotaomicron,BT_001,419,95.62,0.538
S17,s__Bacteroides_thetaiotaomicron,BT_002,194,98.84,0.626
S17,s__Bacteroides_thetaiotaomicron,BT_003,307,98.02,0.638
S17,s__Faecalibacterium_prausnitzii,FP_001,278,96.26,0.871
S17,s__Faecalibacterium_prausnitzii,FP_002,128,97.96,0.955
S17,s__Faecalibacterium_prausnitzii,FP_003,106,98.62,0.83
S17,s__Faecalibacterium_prausnitzii,FP_004,253,96.81,0.588
S17,s__Faecalibacterium_prausnitzii,FP_005,191,98.83,0.618
S17,s__Akkermansia_muciniphila,AM_001,94,95.89,0.764
S17,s__Akkermansia_muciniphila,AM_002,261,95.16,0.992
S17,s__Akkermansia_muciniphila,AM_003,597,99.74,0.798
S18,s__Escherichia_coli,EC_001,22,99.03,0.919
S18,s__Escherichia_coli,EC_002,110,98.69,0.706
S18,s__Escherichia_coli,EC_003,51,96.88,0.83
S18,s__Escherichia_coli,EC_004,107,98.56,0.584
S18,s__Escherichia_coli,EC_005,140,97.83,0.921
S18,s__Escherichia_coli,EC_006,314,95.27,0.632
S18,s__Escherichia_coli,EC_007,416,99.02,0.526
S18,s__Bacteroides_fragilis,BF_001,352,97.27,0.738
S18,s__Bacteroides_fragilis,BF_002,299,97.33,0.974
S18,s__Bacteroides_fragilis,BF_003,163,99.52,0.617
S18,s__Bacteroides_fragilis,BF_004,81,98.35,0.695
S18,s__Bacteroides_thetaiotaomicron,BT_001,520,96.29,0.765
S18,s__Bacteroides_thetaiotaomicron,BT_002,176,97.13,0.644
S18,s__Bacteroides_thetaiotaomicron,BT_003,273,98.91,0.691
S18,s__Faecalibacterium_prausnitzii,FP_001,301,96.55,0.765
S18,s__Faecalibacterium_prausnitzii,FP_002,274,99.68,0.549
S18,s__Faecalibacterium_prausnitzii,FP_003,204,97.6,0.677
S18,s__Faecalibacterium_prausnitzii,FP_004,267,99.14,0.805
S18,s__Faecalibacterium_prausnitzii,FP_005,178,98.2,0.636
S18,s__Akkermansia_muciniphila,AM_001,134,96.32,0.901
S18,s__Akkermansia_muciniphila,AM_002,368,96.25,0.792
S18,s__Akkermansia_muciniphila,AM_003,633,97.26,0.838
S19,s__Escherichia_coli,EC_001,3,96.18,0.836
S19,s__Escherichia_coli,EC_002,74,98.78,0.76
S19,s__Escherichia_coli,EC_003,13,98.32,0.997
S19,s__Escherichia_coli,EC_004,136,96.54,0.505
S19,s__Escherichia_coli,EC_005,113,95.04,0.534
S19,s__Escherichia_coli,EC_006,272,97.02,0.763
S19,s__Escherichia_coli,EC_007,410,98.36,0.676
S19,s__Bacteroides_fragilis,BF_001,443,98.55,0.626
S19,s__Bacteroides_fragilis,BF_002,262,95.17,0.81
S19,s__Bacteroides_fragilis,BF_003,174,95.28,0.797
S19,s__Bacteroides_fragilis,BF_004,312,99.38,0.608
S19,s__Bacteroides_thetaiotaomicron,BT_001,573,97.94,0.561
S19,s__Bacteroides_thetaiotaomicron,BT_002,238,99.69,0.543
S19,s__Bacteroides_thetaiotaomicron,BT_003,223,97.96,0.688
S19,s__Faecalibacterium_prausnitzii,FP_001,374,98.74,0.824
S19,s__Faecalibacterium_prausnitzii,FP_002,159,98.94,0.592
S19,s__Faecalibacterium_prausnitzii,FP_003,190,95.54,0.592
S19,s__Faecalibacterium_prausnitzii,FP_004,145,96.44,0.83
S19,s__Faecalibacterium_prausnitzii,FP_005,294,95.37,0.727
S19,s__Akkermansia_muciniphila,AM_001,129,99.88,0.885
S19,s__Akkermansia_muciniphila,AM_002,370,98.39,0.834
S19,s__Akkermansia_muciniphila,AM_003,444,98.77,0.629
S20,s__Escherichia_coli,EC_001,129,98.83,0.639
S20,s__Escherichia_coli,EC_003,181,95.31,0.694
S20,s__Escherichia_coli,EC_004,11,99.88,0.629
S20,s__Escherichia_coli,EC_005,110,98.98,0.589
S20,s__Escherichia_coli,EC_006,282,95.34,0.99
S20,s__Escherichia_coli,EC_007,391,95.98,0.696
S20,s__Bacteroides_fragilis,BF_001,432,98.16,0.554
S20,s__Bacteroides_fragilis,BF_002,131,97.65,0.716
S20,s__Bacteroides_fragilis,BF_003,231,98.01,0.553
S20,s__Bacteroides_fragilis,BF_004,207,97.16,0.629
S20,s__Bacteroides_thetaiotaomicron,BT_001,595,95.17,0.535
S20,s__Bacteroides_thetaiotaomicron,BT_002,226,98.56,0.889
