,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
ASV_015,234,180,186,215,210,190,203,0,0,0,0,205,237,186,222,212,187,225,0,224,224,0,0,217,211,0,0,220,212,199
ASV_016,0,1604,1716,1782,1615,1755,0,0,1619,1584,0,0,1670,1743,1743,443,416,0,0,423,429,0,0,433,0,452,0,413,468,0
ASV_017,2611,0,2580,0,2547,2612,2563,2535,2610,0,0,2706,2613,0,2603,2623,2589,0,0,2554,2601,0,0,2536,0,2600,0,2644,0,2528
ASV_018,409,0,406,428,436,443,0,433,440,378,0,420,0,451,406,418,381,383,393,422,432,0,414,445,408,398,0,394,0,0
ASV_019,0,888,876,868,0,853,838,0,851,922,874,911,0,871,846,902,0,866,843,872,864,0,879,877,819,878,832,772,845,0
ASV_020,0,0,346,0,385,0,374,444,352,348,376,345,0,347,0,826,0,0,815,772,753,791,725,0,860,0,774,0,804,0
ASV_021,7336,0,7393,0,7239,0,7396,7232,0,7287,0,7263,7531,7242,7393,0,7322,7240,0,7244,7187,7246,7257,7246,7275,0,7297,7318,0,7275
ASV_022,284,276,266,0,0,0,287,250,0,0,252,253,262,240,0,0,245,232,259,260,292,247,0,246,0,242,281,0,275,0
ASV_023,640,664,0,600,0,577,628,654,638,688,573,592,650,0,608,0,1907,1778,1987,1836,1960,0,1999,1839,1913,1834,1804,1860,1875,1780
ASV_024,356,366,343,319,348,0,354,335,329,365,0,376,351,355,359,335,353,396,339,338,342,0,0,336,0,341,315,0,400,0
ASV_025,235,222,218,218,255,218,237,231,243,219,251,226,234,0,0,0,223,236,0,0,242,0,0,228,221,232,0,224,0,224
ASV_026,0,1856,1810,1831,1903,0,1784,0,0,1829,1796,1807,0,1796,1857,1786,1890,1852,1905,1821,0,1833,1881,1872,1931,1857,1859,0,0,0
ASV_027,1458,1495,0,1532,1451,0,1438,1499,1425,1420,0,1428,1506,1453,1549,1459,1449,1521,1499,1377,1535,1457,1466,1519,1455,1464,1473,1525,1429,1447
ASV_028,0,0,344,0,338,0,0,364,367,353,346,0,342,343,324,0,320,0,377,341,308,332,0,0,364,348,332,342,352,355
ASV_029,262,282,276,286,265,0,0,279,282,242,273,271,262,261,267,0,777,869,0,0,0,792,804,792,838,881,875,0,823,881
ASV_030,0,0,2442,2438,0,2391,2298,0,0,0,2398,2362,2229,0,2426,2370,2384,0,2363,2376,2392,2457,2344,2454,2322,2360,2392,2384,2419,0
ASV_031,476,496,440,460,497,0,446,0,483,433,458,531,502,470,486,452,436,450,442,442,495,487,430,490,0,427,472,410,463,462
ASV_032,1285,1260,1473,1371,1277,1359,0,1301,1428,1293,1441,1170,1215,0,1346,286,327,352,0,337,328,0,313,313,325,310,301,328,0,340
ASV_033,0,318,298,329,298,0,306,0,280,270,295,278,287,274,0,0,284,298,307,0,286,280,0,296,0,282,308,0,326,301
ASV_034,0,576,0,0,0,601,582,570,552,567,564,566,591,560,525,1618,1687,0,1630,1592,1575,1569,1736,1549,1612,1635,0,0,1572,1658
ASV_035,0,538,0,526,0,526,0,528,577,0,0,0,569,565,553,525,0,0,561,0,575,0,0,514,556,527,541,555,571,558
ASV_036,0,0,1059,1060,1035,0,1053,0,1054,1063,1076,1109,1094,0,1060,1122,0,0,0,0,1073,1064,1086,1136,1076,0,1065,1039,1073,1152
ASV_037,1255,1410,1385,0,1335,1315,1240,0,0,1275,1305,1365,0,1250,1380,525,504,515,531,0,0,548,556,0,519,474,0,0,535,0
ASV_038,256,236,0,274,0,239,0,0,0,230,0,257,259,0,0,247,0,237,260,262,0,243,244,0,0,225,260,0,247,250
ASV_039,0,530,472,0,526,513,568,490,541,0,519,0,0,540,541,2091,0,2107,2169,2083,2205,0,0,2017,0,0,2119,2283,1962,0
ASV_040,464,0,0,422,0,0,467,443,443,448,461,0,463,484,467,461,458,469,445,0,475,464,0,476,461,437,0,442,455,0
ASV_041,0,0,821,829,770,887,0,875,838,779,827,816,827,0,829,821,789,830,820,793,814,0,857,0,0,816,853,778,780,0
ASV_042,396,372,389,0,385,363,0,363,384,416,0,366,371,0,0,373,0,0,393,406,376,0,394,394,0,371,391,366,406,0
ASV_043,231,0,229,226,214,242,222,0,216,231,204,215,211,232,230,0,231,233,220,0,211,0,214,214,242,218,233,230,209,223
ASV_044,0,363,352,352,0,353,0,334,0,319,0,326,344,348,0,336,357,367,319,341,0,0,313,349,0,345,0,321,335,330
ASV_045,165,178,159,0,179,0,169,170,0,0,0,165,155,173,147,180,180,142,169,163,181,163,0,155,174,0,176,144,0,0
ASV_046,542,519,565,536,0,532,564,553,542,0,0,0,0,521,592,510,556,530,553,0,479,531,0,497,542,559,0,0,535,535
ASV_047,0,1371,1386,1373,0,0,0,1338,1406,1321,1381,1378,1345,1353,0,1329,0,1371,1331,1334,1371,1354,1359,1378,0,1366,1277,1370,1344,1374
ASV_048,499,474,0,0,515,492,0,542,474,487,518,497,0,0,0,0,0,508,0,0,0,0,0,477,0,504,536,514,0,520
ASV_049,590,595,0,616,591,576,622,626,0,617,0,0,558,567,618,577,609,584,598,584,597,0,0,0,598,0,0,548,604,601
ASV_050,554,547,497,522,0,497,524,529,513,545,0,530,533,525,535,544,517,526,537,504,0,512,504,0,0,510,572,0,540,0
ASV_051,0,472,0,514,0,0,484,417,486,435,502,474,0,0,452,0,0,455,0,465,473,0,0,0,0,456,468,468,442,0
ASV_052,411,430,420,0,411,0,432,399,425,0,424,0,415,445,427,400,432,0,417,438,433,417,0,399,0,0,394,402,449,417
ASV_053,1041,0,1013,955,967,980,992,1006,0,0,1034,985,1046,1007,960,983,0,1033,1013,968,1005,0,1000,1039,0,0,974,987,1071,998
ASV_054,574,635,569,596,579,0,564,574,610,612,589,613,0,584,0,1623,1679,0,0,1857,1558,0,0,1641,1804,1748,0,1673,1845,1736
ASV_055,123,0,109,122,119,128,0,114,110,105,119,0,120,111,0,118,101,0,112,137,134,130,0,115,132,105,129,0,0,118
ASV_056,145,141,141,139,140,136,145,135,0,135,156,140,138,136,0,140,0,158,0,127,149,129,0,143,134,121,135,132,0,129
ASV_057,800,749,773,757,0,0,0,0,770,755,792,826,779,0,0,0,788,0,753,789,759,0,782,792,762,774,0,0,749,809
ASV_058,0,0,774,0,750,0,0,760,0,804,806,785,744,0,756,776,803,770,0,733,783,819,0,757,0,0,788,0,0,0
ASV_059,0,1275,1300,0,1373,0,1243,1275,1316,0,1316,1387,1375,1343,1329,1312,1320,1241,0,0,1318,0,1283,0,0,0,1283,0,1319,0
ASV_060,1016,1053,1083,1012,1034,1021,1055,1094,971,0,0,1055,1036,1126,977,506,0,0,503,509,493,509,0,0,504,452,475,479,503,466
ASV_061,0,0,9868,0,0,9726,0,0,0,9832,0,10000,10000,0,9995,3781,3845,3783,0,3894,3924,0,3804,3937,3834,3785,0,3776,3810,0
ASV_062,0,2219,2259,2109,2159,0,2213,2183,0,2225,0,2204,2084,0,2137,2180,0,0,2132,2120,0,2197,2232,2214,0,0,2168,2187,2212,2147
ASV_063,6498,0,6358,6285,6548,6444,6589,6711,6321,6367,6285,0,6539,6190,6498,1502,0,1484,1416,1426,1430,0,1403,1523,0,1460,1436,1453,1426,0
ASV_064,663,0,580,659,629,545,606,622,606,614,609,602,0,603,613,0,606,0,607,639,660,598,620,588,617,593,0,587,631,0
ASV_065,650,686,668,671,0,656,0,634,667,0,0,713,698,0,0,0,689,647,645,674,0,744,703,0,667,665,657,705,658,653
ASV_066,119,119,120,127,0,125,119,105,0,0,135,121,0,0,144,0,135,112,113,0,129,0,0,0,121,106,0,122,0,0
ASV_067,497,520,0,470,478,476,462,0,478,0,0,0,0,0,0,477,490,0,0,490,474,482,0,0,498,468,490,473,0,496
ASV_068,578,528,530,529,513,549,0,500,511,519,541,538,565,0,556,560,538,525,0,0,550,535,519,0,554,555,576,555,531,0
ASV_069,58,63,65,68,56,76,61,78,0,69,57,69,56,48,57,76,67,71,0,53,81,65,69,80,73,73,0,70,0,80
ASV_070,614,683,660,680,629,680,644,0,0,650,613,0,628,0,652,598,600,0,627,683,655,659,636,624,634,618,646,629,0,618
ASV_071,720,0,772,776,743,789,786,752,812,757,0,0,0,0,735,764,0,777,760,0,750,777,739,752,816,0,784,744,787,745
ASV_072,701,0,713,646,0,0,690,762,693,0,0,694,0,0,737,704,691,0,643,688,678,0,706,719,650,0,0,697,0,660
ASV_073,0,701,680,678,0,666,683,682,671,683,0,720,683,0,0,716,694,676,655,659,0,687,0,691,666,713,0,659,673,667
ASV_074,0,507,522,466,490,486,502,485,0,480,0,521,471,490,0,467,500,512,503,498,0,0,463,506,537,0,537,543,490,0
ASV_075,771,0,0,783,822,787,0,808,804,792,706,0,742,761,778,832,741,0,0,0,787,779,0,801,746,764,783,0,810,758
ASV_076,1895,1939,0,0,1894,1869,1911,1902,1855,1839,1965,1813,1905,1903,0,1914,1842,1880,1958,1837,0,1930,0,1840,1889,0,1829,1988,0,1850
ASV_077,221,0,0,224,0,0,0,209,0,204,208,0,0,232,229,0,218,0,199,232,203,235,207,225,201,218,0,0,0,205
ASV_078,0,0,1778,1774,0,1743,1722,1753,0,1761,0,1814,1775,1830,1727,0,0,1753,0,1797,1790,1814,1748,1756,1764,0,1727,1782,1773,1805
ASV_079,536,0,0,553,516,553,542,0,533,533,0,541,0,0,552,0,482,539,0,530,530,516,536,0,559,557,0,0,0,0
ASV_080,154,161,0,196,159,164,201,161,182,160,0,171,164,177,0,176,0,196,166,177,167,176,162,174,149,154,176,0,207,182
ASV_081,241,261,0,274,0,259,265,287,245,0,0,0,273,0,0,277,277,0,257,312,266,0,283,260,250,250,0,0,0,225
ASV_082,0,290,296,306,292,273,274,283,313,286,0,265,0,286,273,640,0,682,0,575,0,602,0,622,637,662,628,646,599,0
ASV_083,5786,0,0,5787,5808,5861,5823,5785,5806,5765,5912,5731,5847,0,0,10000,0,0,10000,10000,10000,0,10000,0,10000,10000,10000,10000,0,10000
ASV_084,0,4251,4440,4268,4676,4264,0,4135,4543,4483,0,4272,0,4568,4311,0,0,0,1061,1012,0,1002,1038,1006,1027,0,1060,1048,988,0
ASV_085,342,317,307,338,291,296,0,302,309,0,317,0,340,0,291,321,296,0,306,0,0,301,350,306,0,0,0,0,304,326
ASV_086,1424,1397,1338,0,1359,1367,0,1405,1400,0,0,1360,0,0,0,0,0,5341,5288,5299,5200,5257,0,5421,0,5170,0,0,5500,5337
ASV_087,1395,0,1449,0,0,1411,1404,0,0,1413,1428,0,1421,1447,0,1362,1409,1412,0,1441,1337,1383,1436,1369,0,0,1406,0,0,1425
ASV_088,524,0,529,546,518,0,574,0,539,565,523,526,550,543,0,0,565,519,526,497,557,523,582,562,508,0,521,581,524,513
ASV_089,417,0,0,459,0,427,0,452,0,417,442,430,439,0,457,1909,2072,1918,1975,0,0,1883,1984,0,1953,1927,2160,1931,0,2089
ASV_090,0,0,0,0,151,0,192,189,0,0,175,0,178,165,0,0,152,194,159,175,171,172,0,0,177,0,182,159,0,189
ASV_091,120,0,0,0,110,118,105,116,110,107,103,0,101,104,0,95,98,0,111,102,132,113,107,107,0,106,124,126,88,0
ASV_092,170,166,0,0,172,170,165,132,0,0,158,201,169,189,147,0,180,0,0,170,0,0,163,164,0,162,0,182,160,149
ASV_093,0,862,834,843,879,0,0,808,892,810,808,861,0,844,0,873,0,0,817,0,797,837,0,0,0,852,855,0,851,824
ASV_094,576,616,614,614,635,0,635,0,0,643,626,642,0,0,0,650,659,0,607,644,648,621,0,616,0,631,606,0,668,676
ASV_095,5151,5067,5077,5278,0,0,5131,5155,5170,5134,0,5189,5156,0,5136,0,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000
ASV_096,299,0,0,306,300,318,322,0,0,310,0,317,329,325,0,0,349,304,327,309,0,323,299,316,317,327,0,0,307,0
ASV_097,275,0,276,235,279,0,0,283,248,273,0,0,0,0,0,242,314,272,273,0,258,274,276,265,246,237,0,0,0,305
ASV_098,280,0,0,269,276,268,308,296,0,284,292,0,276,0,0,277,291,294,289,0,279,289,288,300,0,294,288,297,261,283
ASV_099,0,663,702,0,0,656,639,665,0,0,0,0,0,632,0,0,635,0,0,648,0,682,663,0,0,695,674,644,668,671
ASV_100,352,339,330,0,314,345,362,306,336,331,0,314,335,344,0,0,333,0,333,332,0,0,348,0,320,314,351,346,285,352
