#clade_name	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	2.1	2.3	1.9	2.5	2.0	2.4	1.8	2.4	2.2	2.1	2.3	1.7	2.5	2.0	2.2	1.9	2.4	2.1	2.1	2.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.2	5.5	4.9	5.8	5.1	5.6	4.8	5.7	5.3	5.1	5.5	4.7	5.8	5.0	5.4	4.8	5.6	5.2	5.3	5.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	4.0	4.3	3.8	4.5	3.9	4.4	3.7	4.4	4.1	4.0	4.2	3.6	4.5	3.8	4.2	3.7	4.3	4.0	4.1	3.8
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	3.5	3.8	3.3	4.0	3.4	3.9	3.2	3.9	3.6	3.5	3.7	3.1	4.0	3.3	3.7	3.2	3.8	3.5	3.6	3.3
k__Bacteria|p__Bacteroidetes	28.5	27.2	30.1	26.0	29.2	27.8	30.5	26.5	28.0	28.8	27.0	31.0	25.8	29.5	27.5	30.2	26.8	28.2	27.8	29.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	25.2	24.1	26.6	23.0	25.8	24.5	27.0	23.5	24.8	25.5	24.0	27.5	22.8	26.0	24.2	26.8	23.8	25.0	24.6	25.5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	22.5	21.5	23.8	20.5	23.0	21.8	24.2	21.0	22.2	22.8	21.3	24.5	20.3	23.2	21.5	24.0	21.2	22.3	21.9	22.8
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	15.0	14.3	15.9	13.7	15.4	14.5	16.2	14.0	14.8	15.2	14.2	16.4	13.5	15.5	14.4	16.0	14.0	14.9	14.6	15.2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	12.5	11.9	13.2	11.4	12.8	12.1	13.5	11.7	12.3	12.7	11.8	13.7	11.2	12.9	12.0	13.3	11.6	12.4	12.2	12.7
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	5.2	4.9	5.5	4.7	5.3	5.0	5.6	4.8	5.1	5.3	4.9	5.7	4.6	5.4	5.0	5.5	4.8	5.2	5.1	5.3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	4.0	3.8	4.2	3.6	4.1	3.9	4.3	3.7	3.9	4.1	3.8	4.4	3.5	4.2	3.8	4.2	3.7	4.0	3.9	4.1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	8.0	7.6	8.5	7.3	8.2	7.8	8.6	7.5	7.9	8.1	7.5	8.7	7.2	8.3	7.7	8.5	7.4	7.9	7.8	8.1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	7.0	6.7	7.5	6.4	7.2	6.8	7.6	6.6	6.9	7.1	6.6	7.7	6.3	7.3	6.7	7.5	6.5	6.9	6.8	7.1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	3.5	3.3	3.8	3.2	3.6	3.4	3.8	3.3	3.5	3.6	3.3	3.9	3.1	3.6	3.3	3.7	3.2	3.5	3.4	3.5
k__Bacteria|p__Actinobacteria	8.2	7.5	9.0	7.0	8.5	7.8	9.2	7.2	7.9	8.3	7.4	9.3	6.8	8.6	7.6	9.0	7.1	8.0	7.7	8.4
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.5	6.9	8.2	6.5	7.8	7.2	8.4	6.6	7.2	7.6	6.8	8.5	6.2	7.9	7.0	8.2	6.5	7.3	7.0	7.7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	5.5	5.0	6.0	4.7	5.7	5.2	6.2	4.8	5.3	5.6	5.0	6.3	4.5	5.8	5.1	6.0	4.7	5.3	5.1	5.6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	5.0	4.5	5.5	4.3	5.2	4.8	5.7	4.4	4.8	5.1	4.5	5.8	4.1	5.3	4.7	5.5	4.3	4.8	4.7	5.1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	4.5	4.1	5.0	3.9	4.7	4.3	5.2	4.0	4.3	4.6	4.1	5.3	3.7	4.8	4.2	5.0	3.9	4.4	4.2	4.6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2.5	2.3	2.8	2.1	2.6	2.4	2.9	2.2	2.4	2.6	2.2	3.0	1.9	2.7	2.3	2.8	2.0	2.5	2.3	2.5
k__Bacteria|p__Proteobacteria	10.5	11.2	9.5	12.0	10.0	11.0	9.2	11.5	10.8	10.4	11.3	9.0	12.1	9.8	11.0	9.5	11.6	10.5	10.8	10.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.0	6.4	5.4	6.9	5.7	6.3	5.2	6.7	6.2	5.9	6.5	5.1	7.0	5.6	6.2	5.3	6.6	6.0	6.2	5.7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	4.5	4.8	4.0	5.2	4.2	4.7	3.9	5.0	4.6	4.4	4.9	3.7	5.3	4.1	4.6	3.9	5.0	4.5	4.6	4.2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	4.0	4.3	3.6	4.6	3.8	4.2	3.5	4.5	4.1	3.9	4.4	3.3	4.7	3.7	4.1	3.5	4.5	4.0	4.1	3.8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2.5	2.7	2.2	2.9	2.4	2.6	2.1	2.8	2.6	2.4	2.7	2.0	3.0	2.3	2.6	2.2	2.8	2.5	2.5	2.3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	1.8	1.9	1.6	2.1	1.7	1.9	1.5	2.0	1.9	1.7	2.0	1.4	2.2	1.6	1.9	1.5	2.0	1.8	1.8	1.6
k__Bacteria|p__Verrucomicrobia	2.1	1.9	2.3	1.7	2.2	2.0	2.4	1.8	2.0	2.1	1.9	2.5	1.6	2.3	1.9	2.3	1.7	2.0	1.9	2.1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.8	1.6	2.0	1.5	1.9	1.7	2.1	1.5	1.7	1.8	1.6	2.2	1.4	2.0	1.6	2.0	1.4	1.7	1.6	1.8
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.5	1.3	1.7	1.2	1.6	1.4	1.8	1.2	1.4	1.5	1.3	1.9	1.1	1.7	1.3	1.7	1.1	1.4	1.3	1.5
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	1.2	1.0	1.4	0.9	1.3	1.1	1.5	0.9	1.1	1.2	1.0	1.6	0.8	1.4	1.0	1.4	0.8	1.1	1.0	1.2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	1.0	0.8	1.2	0.7	1.1	0.9	1.3	0.7	0.9	1.0	0.8	1.4	0.6	1.2	0.8	1.2	0.6	0.9	0.8	1.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.8	0.6	1.0	0.5	0.9	0.7	1.1	0.5	0.7	0.8	0.6	1.2	0.4	1.0	0.6	1.0	0.4	0.7	0.6	0.8
