sample_id,species,strain,abundance
S03,s__Faecalibacterium_prausnitzii,FP_004,115
S03,s__Faecalibacterium_prausnitzii,FP_005,215
S03,s__Akkermansia_muciniphila,AM_001,448
S03,s__Akkermansia_muciniphila,AM_002,261
S03,s__Akkermansia_muciniphila,AM_003,250
S04,s__Escherichia_coli,EC_001,314
S04,s__Escherichia_coli,EC_002,138
S04,s__Escherichia_coli,EC_003,140
S04,s__Escherichia_coli,EC_004,11
S04,s__Escherichia_coli,EC_005,182
S04,s__Escherichia_coli,EC_006,241
S04,s__Escherichia_coli,EC_007,106
S04,s__Bacteroides_fragilis,BF_001,345
S04,s__Bacteroides_fragilis,BF_002,129
S04,s__Bacteroides_fragilis,BF_003,111
S04,s__Bacteroides_fragilis,BF_004,148
S04,s__Bacteroides_thetaiotaomicron,BT_001,564
S04,s__Bacteroides_thetaiotaomicron,BT_002,261
S04,s__Bacteroides_thetaiotaomicron,BT_003,358
S04,s__Faecalibacterium_prausnitzii,FP_001,383
S04,s__Faecalibacterium_prausnitzii,FP_002,182
S04,s__Faecalibacterium_prausnitzii,FP_003,196
S04,s__Faecalibacterium_prausnitzii,FP_004,189
S04,s__Faecalibacterium_prausnitzii,FP_005,214
S04,s__Akkermansia_muciniphila,AM_001,365
S04,s__Akkermansia_muciniphila,AM_002,265
S04,s__Akkermansia_muciniphila,AM_003,282
S05,s__Escherichia_coli,EC_001,330
S05,s__Escherichia_coli,EC_002,97
S05,s__Escherichia_coli,EC_003,140
S05,s__Escherichia_coli,EC_004,130
S05,s__Escherichia_coli,EC_005,174
S05,s__Escherichia_coli,EC_006,127
S05,s__Escherichia_coli,EC_007,58
S05,s__Bacteroides_fragilis,BF_001,357
S05,s__Bacteroides_fragilis,BF_002,205
S05,s__Bacteroides_fragilis,BF_003,112
S05,s__Bacteroides_fragilis,BF_004,241
S05,s__Bacteroides_thetaiotaomicron,BT_001,457
S05,s__Bacteroides_thetaiotaomicron,BT_002,285
S05,s__Bacteroides_thetaiotaomicron,BT_003,268
S05,s__Faecalibacterium_prausnitzii,FP_001,395
S05,s__Faecalibacterium_prausnitzii,FP_002,63
S05,s__Faecalibacterium_prausnitzii,FP_003,83
S05,s__Faecalibacterium_prausnitzii,FP_004,130
S05,s__Faecalibacterium_prausnitzii,FP_005,210
S05,s__Akkermansia_muciniphila,AM_001,374
S05,s__Akkermansia_muciniphila,AM_002,262
S05,s__Akkermansia_muciniphila,AM_003,300
S06,s__Escherichia_coli,EC_001,254
S06,s__Escherichia_coli,EC_002,114
S06,s__Escherichia_coli,EC_003,188
S06,s__Escherichia_coli,EC_004,191
S06,s__Escherichia_coli,EC_005,137
S06,s__Escherichia_coli,EC_006,176
S06,s__Escherichia_coli,EC_007,107
S06,s__Bacteroides_fragilis,BF_001,443
S06,s__Bacteroides_fragilis,BF_002,136
S06,s__Bacteroides_fragilis,BF_003,246
S06,s__Bacteroides_fragilis,BF_004,202
S06,s__Bacteroides_thetaiotaomicron,BT_001,468
S06,s__Bacteroides_thetaiotaomicron,BT_002,182
S06,s__Bacteroides_thetaiotaomicron,BT_003,212
S06,s__Faecalibacterium_prausnitzii,FP_001,369
S06,s__Faecalibacterium_prausnitzii,FP_002,184
S06,s__Faecalibacterium_prausnitzii,FP_003,169
S06,s__Faecalibacterium_prausnitzii,FP_004,166
S06,s__Faecalibacterium_prausnitzii,FP_005,178
S06,s__Akkermansia_muciniphila,AM_001,499
S06,s__Akkermansia_muciniphila,AM_002,262
S06,s__Akkermansia_muciniphila,AM_003,240
S07,s__Escherichia_coli,EC_001,201
S07,s__Escherichia_coli,EC_002,150
S07,s__Escherichia_coli,EC_003,150
S07,s__Escherichia_coli,EC_004,81
S07,s__Escherichia_coli,EC_005,101
S07,s__Escherichia_coli,EC_006,64
S07,s__Escherichia_coli,EC_007,111
S07,s__Bacteroides_fragilis,BF_001,414
S07,s__Bacteroides_fragilis,BF_002,253
S07,s__Bacteroides_fragilis,BF_003,265
S07,s__Bacteroides_fragilis,BF_004,272
S07,s__Bacteroides_thetaiotaomicron,BT_001,484
S07,s__Bacteroides_thetaiotaomicron,BT_002,296
S07,s__Bacteroides_thetaiotaomicron,BT_003,245
S07,s__Faecalibacterium_prausnitzii,FP_001,330
S07,s__Faecalibacterium_prausnitzii,FP_002,195
S07,s__Faecalibacterium_prausnitzii,FP_003,262
S07,s__Faecalibacterium_prausnitzii,FP_004,131
S07,s__Faecalibacterium_prausnitzii,FP_005,153
S07,s__Akkermansia_muciniphila,AM_001,396
S07,s__Akkermansia_muciniphila,AM_002,264
S07,s__Akkermansia_muciniphila,AM_003,260
S08,s__Escherichia_coli,EC_001,228
S08,s__Escherichia_coli,EC_002,69
S08,s__Escherichia_coli,EC_003,80
S08,s__Escherichia_coli,EC_004,45
S08,s__Escherichia_coli,EC_005,114
S08,s__Escherichia_coli,EC_006,148
S08,s__Escherichia_coli,EC_007,130
S08,s__Bacteroides_fragilis,BF_001,363
S08,s__Bacteroides_fragilis,BF_002,252
S08,s__Bacteroides_fragilis,BF_003,187
S08,s__Bacteroides_fragilis,BF_004,193
S08,s__Bacteroides_thetaiotaomicron,BT_001,582
S08,s__Bacteroides_thetaiotaomicron,BT_002,282
S08,s__Bacteroides_thetaiotaomicron,BT_003,210
S08,s__Faecalibacterium_prausnitzii,FP_001,261
S08,s__Faecalibacterium_prausnitzii,FP_002,126
S08,s__Faecalibacterium_prausnitzii,FP_003,111
S08,s__Faecalibacterium_prausnitzii,FP_004,106
S08,s__Faecalibacterium_prausnitzii,FP_005,295
S08,s__Akkermansia_muciniphila,AM_001,603
S08,s__Akkermansia_muciniphila,AM_002,253
S08,s__Akkermansia_muciniphila,AM_003,219
S09,s__Escherichia_coli,EC_001,203
S09,s__Escherichia_coli,EC_002,53
S09,s__Escherichia_coli,EC_003,98
S09,s__Escherichia_coli,EC_004,193
S09,s__Escherichia_coli,EC_005,158
S09,s__Escherichia_coli,EC_006,110
S09,s__Escherichia_coli,EC_007,131
S09,s__Bacteroides_fragilis,BF_001,375
S09,s__Bacteroides_fragilis,BF_002,187
S09,s__Bacteroides_fragilis,BF_003,210
S09,s__Bacteroides_fragilis,BF_004,246
S09,s__Bacteroides_thetaiotaomicron,BT_001,523
S09,s__Bacteroides_thetaiotaomicron,BT_002,251
S09,s__Bacteroides_thetaiotaomicron,BT_003,291
S09,s__Faecalibacterium_prausnitzii,FP_001,309
S09,s__Faecalibacterium_prausnitzii,FP_002,149
S09,s__Faecalibacterium_prausnitzii,FP_003,230
S09,s__Faecalibacterium_prausnitzii,FP_004,118
S09,s__Faecalibacterium_prausnitzii,FP_005,232
S09,s__Akkermansia_muciniphila,AM_001,580
S09,s__Akkermansia_muciniphila,AM_002,255
S09,s__Akkermansia_muciniphila,AM_003,279
S10,s__Escherichia_coli,EC_001,239
S10,s__Escherichia_coli,EC_002,147
S10,s__Escherichia_coli,EC_003,173
S10,s__Escherichia_coli,EC_004,115
S10,s__Escherichia_coli,EC_005,189
S10,s__Escherichia_coli,EC_006,164
S10,s__Escherichia_coli,EC_007,203
S10,s__Bacteroides_fragilis,BF_001,402
S10,s__Bacteroides_fragilis,BF_002,153
S10,s__Bacteroides_fragilis,BF_003,223
S10,s__Bacteroides_fragilis,BF_004,168
S10,s__Bacteroides_thetaiotaomicron,BT_001,463
S10,s__Bacteroides_thetaiotaomicron,BT_002,162
S10,s__Bacteroides_thetaiotaomicron,BT_003,310
S10,s__Faecalibacterium_prausnitzii,FP_001,334
S10,s__Faecalibacterium_prausnitzii,FP_002,232
S10,s__Faecalibacterium_prausnitzii,FP_003,289
S10,s__Faecalibacterium_prausnitzii,FP_004,138
S10,s__Faecalibacterium_prausnitzii,FP_005,147
S10,s__Akkermansia_muciniphila,AM_001,546
S10,s__Akkermansia_muciniphila,AM_002,336
S10,s__Akkermansia_muciniphila,AM_003,248
S11,s__Escherichia_coli,EC_001,232
S11,s__Escherichia_coli,EC_002,121
S11,s__Escherichia_coli,EC_003,73
S11,s__Escherichia_coli,EC_004,126
S11,s__Escherichia_coli,EC_005,132
S11,s__Escherichia_coli,EC_006,127
S11,s__Escherichia_coli,EC_007,257
S11,s__Bacteroides_fragilis,BF_001,356
S11,s__Bacteroides_fragilis,BF_002,127
S11,s__Bacteroides_fragilis,BF_003,186
S11,s__Bacteroides_fragilis,BF_004,241
S11,s__Bacteroides_thetaiotaomicron,BT_001,581
S11,s__Bacteroides_thetaiotaomicron,BT_002,242
S11,s__Bacteroides_thetaiotaomicron,BT_003,125
S11,s__Faecalibacterium_prausnitzii,FP_001,372
S11,s__Faecalibacterium_prausnitzii,FP_002,259
S11,s__Faecalibacterium_prausnitzii,FP_003,200
S11,s__Faecalibacterium_prausnitzii,FP_004,171
S11,s__Faecalibacterium_prausnitzii,FP_005,247
S11,s__Akkermansia_muciniphila,AM_001,421
S11,s__Akkermansia_muciniphila,AM_002,263
S11,s__Akkermansia_muciniphila,AM_003,190
S12,s__Escherichia_coli,EC_001,170
S12,s__Escherichia_coli,EC_002,99
S12,s__Escherichia_coli,EC_003,157
S12,s__Escherichia_coli,EC_004,37
S12,s__Escherichia_coli,EC_005,99
S12,s__Escherichia_coli,EC_006,160
S12,s__Escherichia_coli,EC_007,152
S12,s__Bacteroides_fragilis,BF_001,397
S12,s__Bacteroides_fragilis,BF_002,116
S12,s__Bacteroides_fragilis,BF_003,305
S12,s__Bacteroides_fragilis,BF_004,135
S12,s__Bacteroides_thetaiotaomicron,BT_001,460
S12,s__Bacteroides_thetaiotaomicron,BT_002,224
S12,s__Bacteroides_thetaiotaomicron,BT_003,320
S12,s__Faecalibacterium_prausnitzii,FP_001,351
S12,s__Faecalibacterium_prausnitzii,FP_002,31
S12,s__Faecalibacterium_prausnitzii,FP_003,189
S12,s__Faecalibacterium_prausnitzii,FP_004,192
S12,s__Faecalibacterium_prausnitzii,FP_005,211
S12,s__Akkermansia_muciniphila,AM_001,397
S12,s__Akkermansia_muciniphila,AM_002,127
S12,s__Akkermansia_muciniphila,AM_003,287
S13,s__Escherichia_coli,EC_001,166
S13,s__Escherichia_coli,EC_002,80
S13,s__Escherichia_coli,EC_003,107
S13,s__Escherichia_coli,EC_004,83
S13,s__Escherichia_coli,EC_005,87
S13,s__Escherichia_coli,EC_006,88
S13,s__Escherichia_coli,EC_007,29
S13,s__Bacteroides_fragilis,BF_001,418
S13,s__Bacteroides_fragilis,BF_002,252
S13,s__Bacteroides_fragilis,BF_003,92
S13,s__Bacteroides_fragilis,BF_004,192
S13,s__Bacteroides_thetaiotaomicron,BT_001,450
S13,s__Bacteroides_thetaiotaomicron,BT_002,272
S13,s__Bacteroides_thetaiotaomicron,BT_003,289
S13,s__Faecalibacterium_prausnitzii,FP_001,341
S13,s__Faecalibacterium_prausnitzii,FP_002,142
S13,s__Faecalibacterium_prausnitzii,FP_003,208
S13,s__Faecalibacterium_prausnitzii,FP_004,158
S13,s__Faecalibacterium_prausnitzii,FP_005,83
S13,s__Akkermansia_muciniphila,AM_001,578
S13,s__Akkermansia_muciniphila,AM_002,250
S13,s__Akkermansia_muciniphila,AM_003,215
S14,s__Escherichia_coli,EC_001,232
S14,s__Escherichia_coli,EC_002,136
S14,s__Escherichia_coli,EC_003,111
S14,s__Escherichia_coli,EC_004,102
S14,s__Escherichia_coli,EC_005,132
S14,s__Escherichia_coli,EC_006,152
S14,s__Escherichia_coli,EC_007,87
S14,s__Bacteroides_fragilis,BF_001,382
S14,s__Bacteroides_fragilis,BF_002,199
S14,s__Bacteroides_fragilis,BF_003,65
S14,s__Bacteroides_fragilis,BF_004,215
S14,s__Bacteroides_thetaiotaomicron,BT_001,556
S14,s__Bacteroides_thetaiotaomicron,BT_002,214
S14,s__Bacteroides_thetaiotaomicron,BT_003,148
S14,s__Faecalibacterium_prausnitzii,FP_001,303
S14,s__Faecalibacterium_prausnitzii,FP_002,231
S14,s__Faecalibacterium_prausnitzii,FP_003,169
S14,s__Faecalibacterium_prausnitzii,FP_004,266
S14,s__Faecalibacterium_prausnitzii,FP_005,175
S14,s__Akkermansia_muciniphila,AM_001,541
S14,s__Akkermansia_muciniphila,AM_002,373
S14,s__Akkermansia_muciniphila,AM_003,243
S15,s__Escherichia_coli,EC_001,238
S15,s__Escherichia_coli,EC_002,67
S15,s__Escherichia_coli,EC_003,85
S15,s__Escherichia_coli,EC_004,128
S15,s__Escherichia_coli,EC_005,196
S15,s__Escherichia_coli,EC_006,115
S15,s__Escherichia_coli,EC_007,185
S15,s__Bacteroides_fragilis,BF_001,373
S15,s__Bacteroides_fragilis,BF_002,96
S15,s__Bacteroides_fragilis,BF_003,288
S15,s__Bacteroides_fragilis,BF_004,204
S15,s__Bacteroides_thetaiotaomicron,BT_001,420
S15,s__Bacteroides_thetaiotaomicron,BT_002,289
S15,s__Bacteroides_thetaiotaomicron,BT_003,302
S15,s__Faecalibacterium_prausnitzii,FP_001,387
S15,s__Faecalibacterium_prausnitzii,FP_002,283
S15,s__Faecalibacterium_prausnitzii,FP_003,185
S15,s__Faecalibacterium_prausnitzii,FP_004,159
S15,s__Faecalibacterium_prausnitzii,FP_005,168
S15,s__Akkermansia_muciniphila,AM_001,590
S15,s__Akkermansia_muciniphila,AM_002,233
S15,s__Akkermansia_muciniphila,AM_003,202
S16,s__Escherichia_coli,EC_001,39
S16,s__Escherichia_coli,EC_002,67
S16,s__Escherichia_coli,EC_003,12
S16,s__Escherichia_coli,EC_004,147
S16,s__Escherichia_coli,EC_005,80
S16,s__Escherichia_coli,EC_006,257
S16,s__Escherichia_coli,EC_007,348
S16,s__Bacteroides_fragilis,BF_001,525
S16,s__Bacteroides_fragilis,BF_002,233
S16,s__Bacteroides_fragilis,BF_003,55
S16,s__Bacteroides_fragilis,BF_004,124
S16,s__Bacteroides_thetaiotaomicron,BT_001,518
S16,s__Bacteroides_thetaiotaomicron,BT_002,242
S16,s__Bacteroides_thetaiotaomicron,BT_003,266
S16,s__Faecalibacterium_prausnitzii,FP_001,271
S16,s__Faecalibacterium_prausnitzii,FP_002,152
S16,s__Faecalibacterium_prausnitzii,FP_003,165
S16,s__Faecalibacterium_prausnitzii,FP_004,160
S16,s__Faecalibacterium_prausnitzii,FP_005,187
S16,s__Akkermansia_muciniphila,AM_001,71
S16,s__Akkermansia_muciniphila,AM_002,393
S16,s__Akkermansia_muciniphila,AM_003,589
S17,s__Escherichia_coli,EC_003,140
S17,s__Escherichia_coli,EC_004,56
S17,s__Escherichia_coli,EC_005,151
S17,s__Escherichia_coli,EC_006,283
S17,s__Escherichia_coli,EC_007,427
S17,s__Bacteroides_fragilis,BF_001,400
S17,s__Bacteroides_fragilis,BF_002,230
S17,s__Bacteroides_fragilis,BF_003,89
S17,s__Bacteroides_fragilis,BF_004,142
S17,s__Bacteroides_thetaiotaomicron,BT_001,583
S17,s__Bacteroides_thetaiotaomicron,BT_002,250
S17,s__Bacteroides_thetaiotaomicron,BT_003,258
S17,s__Faecalibacterium_prausnitzii,FP_001,488
S17,s__Faecalibacterium_prausnitzii,FP_002,137
S17,s__Faecalibacterium_prausnitzii,FP_003,86
S17,s__Faecalibacterium_prausnitzii,FP_004,83
S17,s__Faecalibacterium_prausnitzii,FP_005,135
S17,s__Akkermansia_muciniphila,AM_001,111
S17,s__Akkermansia_muciniphila,AM_002,336
S17,s__Akkermansia_muciniphila,AM_003,561
S18,s__Escherichia_coli,EC_001,180
S18,s__Escherichia_coli,EC_002,83
S18,s__Escherichia_coli,EC_003,78
S18,s__Escherichia_coli,EC_004,150
S18,s__Escherichia_coli,EC_005,149
S18,s__Escherichia_coli,EC_006,255
S18,s__Escherichia_coli,EC_007,342
S18,s__Bacteroides_fragilis,BF_001,449
S18,s__Bacteroides_fragilis,BF_002,257
S18,s__Bacteroides_fragilis,BF_003,190
S18,s__Bacteroides_fragilis,BF_004,136
S18,s__Bacteroides_thetaiotaomicron,BT_001,520
S18,s__Bacteroides_thetaiotaomicron,BT_002,341
S18,s__Bacteroides_thetaiotaomicron,BT_003,345
S18,s__Faecalibacterium_prausnitzii,FP_001,203
S18,s__Faecalibacterium_prausnitzii,FP_002,247
S18,s__Faecalibacterium_prausnitzii,FP_003,156
S18,s__Faecalibacterium_prausnitzii,FP_004,90
S18,s__Faecalibacterium_prausnitzii,FP_005,90
S18,s__Akkermansia_muciniphila,AM_001,88
S18,s__Akkermansia_muciniphila,AM_002,359
S18,s__Akkermansia_muciniphila,AM_003,521
S19,s__Escherichia_coli,EC_001,109
S19,s__Escherichia_coli,EC_002,54
S19,s__Escherichia_coli,EC_003,58
S19,s__Escherichia_coli,EC_004,35
S19,s__Escherichia_coli,EC_005,86
S19,s__Escherichia_coli,EC_006,200
S19,s__Escherichia_coli,EC_007,357
S19,s__Bacteroides_fragilis,BF_001,367
S19,s__Bacteroides_fragilis,BF_002,312
S19,s__Bacteroides_fragilis,BF_003,220
S19,s__Bacteroides_fragilis,BF_004,169
S19,s__Bacteroides_thetaiotaomicron,BT_001,446
S19,s__Bacteroides_thetaiotaomicron,BT_002,269
S19,s__Bacteroides_thetaiotaomicron,BT_003,250
S19,s__Faecalibacterium_prausnitzii,FP_001,438
S19,s__Faecalibacterium_prausnitzii,FP_002,197
S19,s__Faecalibacterium_prausnitzii,FP_003,132
S19,s__Faecalibacterium_prausnitzii,FP_004,116
S19,s__Faecalibacterium_prausnitzii,FP_005,95
S19,s__Akkermansia_muciniphila,AM_001,36
S19,s__Akkermansia_muciniphila,AM_002,358
S19,s__Akkermansia_muciniphila,AM_003,535
S20,s__Escherichia_coli,EC_002,155
S20,s__Escherichia_coli,EC_003,4
S20,s__Escherichia_coli,EC_004,82
S20,s__Escherichia_coli,EC_005,57
S20,s__Escherichia_coli,EC_006,194
S20,s__Escherichia_coli,EC_007,359
S20,s__Bacteroides_fragilis,BF_001,408
S20,s__Bacteroides_fragilis,BF_002,83
S20,s__Bacteroides_fragilis,BF_003,297
S20,s__Bacteroides_fragilis,BF_004,265
S20,s__Bacteroides_thetaiotaomicron,BT_001,439
S20,s__Bacteroides_thetaiotaomicron,BT_002,262
S20,s__Bacteroides_thetaiotaomicron,BT_003,241
S20,s__Faecalibacterium_prausnitzii,FP_001,209
S20,s__Faecalibacterium_prausnitzii,FP_002,83
S20,s__Faecalibacterium_prausnitzii,FP_003,109
S20,s__Faecalibacterium_prausnitzii,FP_004,216
S20,s__Faecalibacterium_prausnitzii,FP_005,141
S20,s__Akkermansia_muciniphila,AM_001,36
S20,s__Akkermansia_muciniphila,AM_002,282
S20,s__Akkermansia_muciniphila,AM_003,605
S21,s__Escherichia_coli,EC_001,37
S21,s__Escherichia_coli,EC_002,105
S21,s__Escherichia_coli,EC_003,14
S21,s__Escherichia_coli,EC_005,217
S21,s__Escherichia_coli,EC_006,299
S21,s__Escherichia_coli,EC_007,428
S21,s__Bacteroides_fragilis,BF_001,420
S21,s__Bacteroides_fragilis,BF_002,194
S21,s__Bacteroides_fragilis,BF_003,240
S21,s__Bacteroides_fragilis,BF_004,282
S21,s__Bacteroides_thetaiotaomicron,BT_001,558
S21,s__Bacteroides_thetaiotaomicron,BT_002,348
S21,s__Bacteroides_thetaiotaomicron,BT_003,159
S21,s__Faecalibacterium_prausnitzii,FP_001,350
S21,s__Faecalibacterium_prausnitzii,FP_002,128
S21,s__Faecalibacterium_prausnitzii,FP_003,168
S21,s__Faecalibacterium_prausnitzii,FP_004,177
S21,s__Faecalibacterium_prausnitzii,FP_005,143
S21,s__Akkermansia_muciniphila,AM_001,69
S21,s__Akkermansia_muciniphila,AM_002,389
S21,s__Akkermansia_muciniphila,AM_003,554
S22,s__Escherichia_coli,EC_001,136
S22,s__Escherichia_coli,EC_002,144
S22,s__Escherichia_coli,EC_003,75
S22,s__Escherichia_coli,EC_004,24
S22,s__Escherichia_coli,EC_005,37
S22,s__Escherichia_coli,EC_006,273
S22,s__Escherichia_coli,EC_007,319
S22,s__Bacteroides_fragilis,BF_001,410
S22,s__Bacteroides_fragilis,BF_002,265
S22,s__Bacteroides_fragilis,BF_003,238
S22,s__Bacteroides_fragilis,BF_004,80
S22,s__Bacteroides_thetaiotaomicron,BT_001,447
S22,s__Bacteroides_thetaiotaomicron,BT_002,277
S22,s__Bacteroides_thetaiotaomicron,BT_003,214
S22,s__Faecalibacterium_prausnitzii,FP_001,393
S22,s__Faecalibacterium_prausnitzii,FP_002,173
S22,s__Faecalibacterium_prausnitzii,FP_003,262
S22,s__Faecalibacterium_prausnitzii,FP_004,204
S22,s__Faecalibacterium_prausnitzii,FP_005,180
S22,s__Akkermansia_muciniphila,AM_001,37
S22,s__Akkermansia_muciniphila,AM_002,420
S22,s__Akkermansia_muciniphila,AM_003,508
S23,s__Escherichia_coli,EC_001,113
S23,s__Escherichia_coli,EC_002,166
S23,s__Escherichia_coli,EC_003,36
S23,s__Escherichia_coli,EC_004,30
S23,s__Escherichia_coli,EC_005,64
S23,s__Escherichia_coli,EC_006,321
S23,s__Escherichia_coli,EC_007,440
S23,s__Bacteroides_fragilis,BF_001,314
S23,s__Bacteroides_fragilis,BF_002,179
S23,s__Bacteroides_fragilis,BF_003,172
S23,s__Bacteroides_fragilis,BF_004,93
S23,s__Bacteroides_thetaiotaomicron,BT_001,493
S23,s__Bacteroides_thetaiotaomicron,BT_002,318
S23,s__Bacteroides_thetaiotaomicron,BT_003,196
S23,s__Faecalibacterium_prausnitzii,FP_001,288
S23,s__Faecalibacterium_prausnitzii,FP_002,185
S23,s__Faecalibacterium_prausnitzii,FP_003,232
S23,s__Faecalibacterium_prausnitzii,FP_004,100
S23,s__Faecalibacterium_prausnitzii,FP_005,176
S23,s__Akkermansia_muciniphila,AM_001,83
S23,s__Akkermansia_muciniphila,AM_002,354
S23,s__Akkermansia_muciniphila,AM_003,555
S24,s__Escherichia_coli,EC_002,79
S24,s__Escherichia_coli,EC_003,57
S24,s__Escherichia_coli,EC_004,88
S24,s__Escherichia_coli,EC_005,97
S24,s__Escherichia_coli,EC_006,315
S24,s__Escherichia_coli,EC_007,448
S24,s__Bacteroides_fragilis,BF_001,351
S24,s__Bacteroides_fragilis,BF_002,223
S24,s__Bacteroides_fragilis,BF_003,130
S24,s__Bacteroides_fragilis,BF_004,253
S24,s__Bacteroides_thetaiotaomicron,BT_001,487
S24,s__Bacteroides_thetaiotaomicron,BT_002,349
S24,s__Bacteroides_thetaiotaomicron,BT_003,259
S24,s__Faecalibacterium_prausnitzii,FP_001,325
S24,s__Faecalibacterium_prausnitzii,FP_002,137
S24,s__Faecalibacterium_prausnitzii,FP_003,90
S24,s__Faecalibacterium_prausnitzii,FP_004,266
S24,s__Faecalibacterium_prausnitzii,FP_005,187
S24,s__Akkermansia_muciniphila,AM_001,144
S24,s__Akkermansia_muciniphila,AM_002,446
S24,s__Akkermansia_muciniphila,AM_003,453
S25,s__Escherichia_coli,EC_001,81
S25,s__Escherichia_coli,EC_002,145
S25,s__Escherichia_coli,EC_003,1
S25,s__Escherichia_coli,EC_004,67
S25,s__Escherichia_coli,EC_005,16
S25,s__Escherichia_coli,EC_006,175
S25,s__Escherichia_coli,EC_007,401
S25,s__Bacteroides_fragilis,BF_001,321
S25,s__Bacteroides_fragilis,BF_002,175
S25,s__Bacteroides_fragilis,BF_003,307
S25,s__Bacteroides_fragilis,BF_004,199
S25,s__Bacteroides_thetaiotaomicron,BT_001,497
S25,s__Bacteroides_thetaiotaomicron,BT_002,196
S25,s__Bacteroides_thetaiotaomicron,BT_003,204
S25,s__Faecalibacterium_prausnitzii,FP_001,241
S25,s__Faecalibacterium_prausnitzii,FP_002,74
S25,s__Faecalibacterium_prausnitzii,FP_003,209
S25,s__Faecalibacterium_prausnitzii,FP_004,284
S25,s__Faecalibacterium_prausnitzii,FP_005,269
S25,s__Akkermansia_muciniphila,AM_001,100
S25,s__Akkermansia_muciniphila,AM_002,386
S25,s__Akkermansia_muciniphila,AM_003,515
S26,s__Escherichia_coli,EC_001,85
S26,s__Escherichia_coli,EC_002,25
S26,s__Escherichia_coli,EC_003,135
S26,s__Escherichia_coli,EC_004,30
S26,s__Escherichia_coli,EC_005,43
S26,s__Escherichia_coli,EC_006,334
S26,s__Escherichia_coli,EC_007,443
S26,s__Bacteroides_fragilis,BF_001,452
S26,s__Bacteroides_fragilis,BF_002,167
S26,s__Bacteroides_fragilis,BF_003,140
S26,s__Bacteroides_fragilis,BF_004,178
S26,s__Bacteroides_thetaiotaomicron,BT_001,493
S26,s__Bacteroides_thetaiotaomicron,BT_002,299
S26,s__Bacteroides_thetaiotaomicron,BT_003,337
S26,s__Faecalibacterium_prausnitzii,FP_001,299
S26,s__Faecalibacterium_prausnitzii,FP_002,121
S26,s__Faecalibacterium_prausnitzii,FP_003,126
S26,s__Faecalibacterium_prausnitzii,FP_004,220
